Scientific_name,Ensembl_Assembly
Stegastes_partitus,Stegastes_partitus-1.0.2
Strigops_habroptila,bStrHab1_v1.p
Strix_occidentalis_caurina,Soccid_v01
Struthio_camelus_australis,ASM69896v1
Suricata_suricatta,meerkat_22Aug2017_6uvM2_HiC
Sus_scrofa,Sscrofa11.1
Taeniopygia_guttata,bTaeGut1_v1.p
Takifugu_rubripes,fTakRub1.2
Terrapene_carolina_triunguis,T_m_triunguis-2.0
Tetraodon_nigroviridis,TETRAODON 8.0
Theropithecus_gelada,Tgel_1.0
Tupaia_belangeri,tupBel1
Tursiops_truncatus,turTru1
Urocitellus_parryii,ASM342692v1
Ursus_americanus,ASM334442v1
Ursus_maritimus,UrsMar_1.0
Ursus_thibetanus_thibetanus,ASM966005v1
Varanus_komodoensis,ASM479886v1
Vicugna_pacos,vicPac1
Vombatus_ursinus,bare-nosed_wombat_genome_assembly
Vulpes_vulpes,VulVul2.2
Xenopus_tropicalis,Xenopus_tropicalis_v9.1
Xiphophorus_couchianus,Xiphophorus_couchianus-4.0.1
Xiphophorus_maculatus,X_maculatus-5.0-male
Zalophus_californianus,mZalCal1.pri
Zonotrichia_albicollis,Zonotrichia_albicollis-1.0.1
Zosterops_lateralis_melanops,ASM128173v1
